Title,Art Type,Facility,Image,Artist,Artist Profile URL,Partnership,Description,Address,City,State,Postal Code,Source URL Text,Source URL ,latLong,isActive,imagePath
Man of Fire,Sculpture,Paseo de San Antonio,,Kim Yasuda,,City of San Jose,"The design of this commemorative artwork connects San Jose State University with Plaza de Cesar Chavez, in the heart of the City's downtown.  The artwork references Dr. Ernesto Galarza’s life-long pursuit of bridging academic and civil life and referencing the many facets of his work, including academia, poetry, education and labor organizing.  The work is composed of three elements: 

Library Table: The surface of the cast-concrete library table is inlaid with bronze farm tools, a cast-bronze field-worker's hat, photo-etched black granite portraits, photo-etched ceramic tiles and bronze text.  The relief surface of the table is designed to encourage pedestrians to view and touch the inlaid elements. 

Cast Bronze Chair: At the west end of the table, facing Plaza de Cesar Chavez, an empty cast-bronze chair with a wooden seat serves as a metaphor for Dr. Galarza as the field worker who took his scholarly practice into the world.  The chair is a functional element, and is intended to encourage visitors to stop, sit and explore the information contained in the table surface.

Ribbons of Terrazzo: The ribbons of terrazzo are 11"" wide and of varying length, and lace through the existing Paseo paving in each of the four blocks.  Designed to have a subtle physical and visual impact upon the Paseo, these ribbons are intended to draw the pedestrian through the length of the walkway.  The terrazzo is inlaid with bronze text, in both English and Spanish, introducing the commemoration through personal recollections about Dr. Galarza's life and work from his family, friends and colleagues.",Paseo de San Antonio between Market and 4th St.,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32377,"37.333656, -121.886101",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Man%20of%20Fire_Kim%20Yasuda.jpeg
Meditation Bench,Sculpture,Groesbeck Hill Park ,,Glen Rogers,https://www.glenrogersart.com/,City of San Jose,"Meditation Bench is a sculptural chair that is placed on a hill overlooking the park. From afar, the bench appears to be a sculpture, but upon further exploration, one discovers that it is also a private bench to contemplate the view. The inspiration for the form of the bench is drawn from nature, such as a seed pod or leaf. The spiral designs represents a spirit of renewal and the cycle of life. Thus,  Meditation Bench is intended to connect the sitter to the environment of Groesbeck Hill Park, and the beauty of the natural forms found in nature. This piece reflects the artist’s study of archetypal symbols from nature and ancient art. She considers shapes such the sprial, circle, and cresent a part of a universal visual language. Inspiration for these geometric forms also comes from ancient pottery and cave walls, which the artist has explored extensively. For the artist, Meditation Bench is both a reference to nature and to past artistic forms.",Cedardale Drive and Norbert Court,San Jose,CA,95148,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32379,"35.7157795,-122.2295671",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Meditation%20Bench_Glen%20Rogers.jpeg
Metamorphosis: Transformation In the Woods and Trees of Knowledge,"Painting, Sculpture",Joyce Ellington Branch Library,,Lucy Liew,https://www.lucyliewart.com/,City of San Jose,"All over the world, trees have figured in ancient myths, and rituals, and many trees of legend are also a source of knowledge. The artist inspired by this and further intrigued by the transformation of butterflies, and that as a metaphor for the human life process from childhood to maturity. With these ideas in mind Ms. Liew created Trees of Knowledge: two ""trees"" formed by integrating painted elements, positioned to suggest treetops, onto columns of the building. Their shape also echoes that of butterfly wings and each is painted with rich, colorful mythological imagery. Ms. Liew suggests that these, ""serve as a gateway to the world of imagination and learning that await the visitors to the Children's section of the library.""   Ms. Liew's Metamorphosis - Transformation in the Woods is a painting in the form of butterfly wings. Located in the Storytelling Corner, these are positioned so as to frame the storyteller. Colorful imagery on the wings references characters from classic fairytales, nursery rhymes set in the forest, and folklore and is intended to inspire positive themes for young readers.",491 E. Empire St.,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32381," -121.8869455,
          37.3498412",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Metamorphosis_Lucy%20Liew.jpeg
"My Rabbits, Stories in Clay",Mural,Willow Glen Branch Library,,Nina Koepcke,,City of San Jose,"This tile mural in the courtyard, was created with donated community funding by artist Nina Koepcke and children from Willow Glen Library in memory of Helen Clair Owen.",1157 Minnesota Ave,San Jose,CA,95125,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2597/1396,"  -121.90008479417,
          37.30299955",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/My%20Rabbits%2C%20Stories%20in%20Clay_Nina%20Koepcke.jpeg
Nature of Life,"Architecture, Mural, Sculpture",Horace Mann School,,Sayed Alavi,,City of San Jose,"This multi-element project is designed as an integral part of the school environment, so that art and life are harmoniously fused together.  Each piece responds to a particular aspect of the school's physical, social or historical environment.   

Alphabet Windows: twenty six of the small classroom windows feature an animal or a bird whose name corresponds with one of the letters of the alphabet.Animal Footprints: Animal foot prints are impressed into the plaza around the water fountain near the Administrative building.  They are placed in such a way as to appear that the animals have come to drink at the ""watering hole.""

Fossil Wall: The wall between the Kindergarten and Multi-use room, presents a geological fossil, a replica of actual an actual fossil.  Students are exposed to the concept of geological time and the fossil record.

Classroom Name Plaques: Each of the three floors of the school building are given a classification category of Animal, Vegetable or Mineral.  The ground floor is named for rocks and minerals, the second floor for plant life and the third floor for animal life. Each room is given a name as a layer of identity beyond the usual room numbers. The progression upward in the building represents greater complexity of life.   

Banner Mural: Historic murals from the original school have been documented and photographically reproduced on screen mesh fabric, which is hung as 2' X 5' banners in the mulit-use room. The project seeks to celebrate the identity of the school by preserving the past and contributing new identity to inspire the imagination of its student body.",55 North 7th Street,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2599/1396," -121.884883816529,
          37.3399616750901",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Nature%20of%20Life_Sayed%20Alavi.jpeg
Nature/Knowledge,"Architecture, Photography",Educational Park Branch Library,,Catherine Wagner,,City of San Jose,"Internationally-recognized photographer Catherine Wagner created a dynamic architectural frieze that investigates ideas about knowledge, nature, wonder and discovery. This frieze is installed on the clerestory walls of the library entrance, and consists of printed images laminated to aluminum panels. Source material for the photos includes trees, rocks and plants from Overfelt Gardens, as well as Chinese Scholars’ Rocks from some of the preeminent collections in the United States. Integrated into the installation at the west end of the building is the signage for the Library’s “Tech Connect” area. This sign is comprised of two parts—the practical wayfinding text, and the surrounding cellular image forms. The cellular pattern was made using Voronoi diagrams for points that are algorithmically distributed through the panel and concentrated within the letter forms. So, abstractly the cells are defined by the letters and the surrounding images themselves. The “Tech Connect” sign was designed by Michael Thompson of Coded Meaning, a frequent collaborator with Ms. Wagner.",1772 Educational Park Dr.,San Jose,CA,95133,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32383,"-121.85768829324,
          37.36563855",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Nature_%20Knowledge_Catherine%20Wagner.jpeg
Not If But When,"Architecture, Sculpture",Edenvale Community Center,,CoLab Studio - Matthew and Maria Salenge,https://www.colabstudio.com/,City of San Jose,"The title of this work came from the community's aspirations for each child in Edenvale to find success in life. The artwork consists of two elements: bronze sculptures inset into the exterior walls at each of the three entrances to the building, and vinyl drawings on the large gymnasium windows that face Branham. All the elements are based on objects, images and ideas cultivated by the artists from the community. The artists engaged in extensive interaction with the Edenvale community in the creation of the artwork. They went out to schools, neighborhood and community gatherings, youth centers and the library to encourage community members to ""Be a Part of the Art"" by contributing objects, stories, photos and memorabilia that represented their own lives.  The window drawings depict a series of doors, many photographed in the adjacent neighborhood. The doors become an entry point to different ideas the artists wanted to convey, based on the community outreach and their own research.   Sculptures are set in boxes that are inset in the façade of the building. The sculptures are hybrids of many of the donated and discovered items from a very diverse community brought together in a way to inspire new thinking about everyday objects, as well as the long and interesting history of the area. The bronzes are accompanied by quotes from A Spiritual Thought for Each Day, a book of inspirational thoughts by Mary Hayes- Chynoweth, an early settler in the Edenvale, and builder of Hayes Mansion",330 Branham Lane East,San Jose,CA,95111,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32385,"   -121.813010110689,
          37.2691028899944",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Not%20If%20But%20When_CoLab%20Studio%20-%20Matthew%20and%20Maria%20Salenge.jpeg
Ohlone Woman,Sculpture,Almaden Community Center and Library,,Lisa Reinertson,https://www.lisareinertson.com/,City of San Jose,"The courtyard artwork is a life size image of a native Californian: an Ohlone woman in a tulle reed boat. For the artist this image honors the roots of our humanity and those who lived here in a world of unimaginable natural beauty.The bronze sculpture is 6’ x 7’-5” x 2’-5”(h x w x d). The bas-relief supporting the boat depicts a visual narrative of the history of the local region and of California. The images depicted on the bas-relief represent an integrated view across time:Landscape depicting the area pre-European settlement: oak trees, hills, a stream, a view to the distant ocean, and native flora and fauna including poppies, lupine, redwood trees, deer and birdsIn the view to the ocean bay is a Spanish Galleon signaling their arrival to the regionCircling around the front is a packing mule and miner, referencing the quicksilver mines and the Gold Rush eraThe miner stands on a precipice overlooking an orchardIn the far right there is a highway that curves away taking the viewers eye to a cityscape of the modern San José regionThe visual narrative ends with an image of a young woman gazing at a computer screen.",6445 Camden Avenue,San Jose,CA,95120,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32387,"-121.865548826801,
          37.2207169102402",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Ohlone%20Woman_Lisa%20Reinertson.jpeg
Oionos,Sculpture,San Jose Repertory Theater,,Douglas Hollis,,City of San Jose,"Oionos is a Greek name for a large mythical soaring bird, as well as a series of experimental kites designed by Alexander Graham Bell. The artwork references text, language, and writing – the tools which poets and playwrights have used throughout history. It is a metaphor for the technology of the written word and for the flight of imagination.  The artwork is composed of two main elements: a 24-foot illuminated quill and a circular element which supports a perforated steel screen with cut-out text. Both the quill and the circle are supported by a 16-foot tapered mast. The quill is mounted on bearings allowing it to rotate in the wind. The structure of both elements is composed of stainless steel tubing. The artwork also features text from William Shakespeare’s The Tempest, and reads “We are such stuff as dreams are made on...” This piece celebrates language as a triumph of human ingenuity. As Douglas Hollis said, “Birds fly in air, fish swim in water and humans live in language.",101 Paseo de San Antonio,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32389," -121.885655,
          37.333667",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Oinonos_Douglas%20Hollis.jpeg
Olé,Sculpture,Rose Garden Branch Library,,Clark Wiegman,http://www.artifacture.org/index.html,City of San Jose,"The artwork is comprised of two parts: Aton and Floribunda. Aton by definition is the disk of the sun, regarded as a deity in ancient Egyptian mythology. A 5’ diameter aluminum disc frames glass roses that shoot out from the surface like solar flares. Each rose is attached to a pipe stem threaded through hieroglyphic punctures cut in the surface of the disc. The stems continue through the disc and braid into a 12 foot long ‘stream’ trailing through the lobby space. Roses, leaves and thorns adorn this ‘stem stream’. The inspiration for Aton is from two sources and the meanings prompted by their overlay are multifaceted. Framed by the disc, the rose may represent passion & friendship (red & yellow), solar flares (blossoms framed by the disc), streams of thought (intertwined stems), problems & challenges (thorns), and, perhaps, as the mystic poet Rumi might ascribe—an inner luminosity essential to the rose itself. The second piece of Olé is Floribunda (a popular rose cultivar group) located on fireplace chimney. This element is a metal piece with water jet cut hieroglyphics mounted on the chimney with a stream of glass roses randomly placed from mantle to ceiling. The blown glass and aluminum artwork explores the natural world in the context of the world of knowledge and reason – historic and contemporary.",1580 Naglee Ave.,San Jose,CA,95126,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32391,"  -121.926255921418,
          37.33183455",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Ole_Clark%20Wiegman.jpeg
One Perfect Morning,Mural,Ryland Dog Park,,Juan Luna-Avin and Julio Cesar Morales,,City of San Jose,"One Perfect Morning is a digitally-printed banner inspired by the residents, landscape and history of the Vendome neighborhood.",26 Ryland Park Dr,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32393," -121.8962693,
          37.3421842",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/One%20Perfect%20Morning_Juan%20Luna-Avin%20and%20Julio%20Cesar%20Morales.jpeg
Origin,Sculpture,Tech Museum of Innovation,,"Belize Brothers, Brad Goldberg and Joe McShane",,City of San Jose,"Origin is a sculptural installation located in the museum’s lower level south atrium. The artwork explores the relationship between art and technology, and celebrates the earth’s basic natural resources as the foundation of technological innovation. Origin is comprised of several integral elements. A gilded, nine-foot diameter tower rises 45’ from the lower level’s terrazzo floor. The terrazzo floor design, which can easily be seen from the upper levels and the staircase as one descends, is derived from the pattern of an early integrated circuit. Natural granite boulders placed within the floor space provide informal seating. Upon further exploration the viewer looks up to a suspended tree-root system covered in gold leaf. An elegant spectrum of ever unfolding colored lights play across the interior surfaces of the tower and interact with the suspended gilded root system. This play of light patterns is the result of a solar light sculpture at the roof level which gathers sunlight and projects it through a series of mirrors to an imaging mechanism inside the tower.",201 S Market St,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32395,"-121.888989981001,
          37.3318121175576",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Origin_Belize%20Brothers%2C%20Brad%20Goldberg%2C%20and%20Joe%20McShane.jpeg
Padre Sheedy's Umbrella,Sculpture,Parque de Padre Mateo Sheedy,,"San Jose State University “Art in Community” Students with Tony May, Instructor",,City of San Jose,"The artwork is a stylized, 50' tall, cut-metal umbrella mounted in a colorful, ceramic tile mosaic base that features images and remembrances of Padre Sheedy. The umbrella form of the artwork is an analogy for Padre Sheedy's protective influence in the community through the many programs he undertook with such joy. The umbrella also suggests Padre Sheedy's high aspirations of service and the sense of welcome that he extended towards everyone.Padre Sheedy's Umbrella was created by San Jose State University art professor Tony May and the students in his Art in Community class in commemoration of Father Mateo Sheedy. The SJSU artists engaged in a thoughtful process of developing the public art to ensure that it would serve as a fitting tribute to Padre Sheedy's vision and legacy.",Floyd and Locust St,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32397/636716071883430000,"-121.8809223,
          37.313529",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Padre%20Sheedy_s%20Umbrella_SJSU%20Students%20with%20Tony%20May.jpeg
Parade of Animals,Sculpture,Discovery Meadows,,Michael Boris,,City of San Jose,"A set of bronze animals represents creatures that might be found along the Guadalupe River. The animals are arranged so that the owl, hawk, and fox are eyeing the rabbit and frog as food sources. The raccoon is placed as an observer, watching all the other animals.",Woz Way at W. San Carlos,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2617/1396,"-121.8624141, 37.4084928",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Parade%20of%20Animals_Michael%20Boris.jpeg
Parade of Floats,Sculpture,Along 5th St. between St. John and San Fernando Streets ,,Andrew Leister,https://andrewleicester.com/,City of San Jose,"Parade of Floats is a procession of 16 sculptural ""floats"" along 5th Street between St. John and San Fernando Streets. These sculptures recall parades that are an expression of a community coming together in celebration. Each of these 16 floats are titled with themes that convey a vision of San Jose's historic and contemporary identity, as well as community priorities and values:

• Environment 
• Gold Rush           
• Neighborhoods            
• High Technology         
• Families            
• Innovation           
• Arts & Creativity            
• Diversity          
• Education            
• Overcoming Adversity          
• Trailblazers           
• Recreation       
• Pueblo           
• Children           
• Agriculture           
• Future

The pre-cast concrete bases for the floats are shaped as cars or chariots. The sculptures are ceramic tile over concrete and vary in shape and size. Seven of the themes have been developed in the form of columns, approximately 30 feet tall.",200 East Santa Clara,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32399,"   -121.889087023609,
          37.3345839821445",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Parade%20of%20Floats_Andrew%20Leister.jpeg
"Path of 10,000 Leaves",Sculpture,Cataldi Park,,Sheila Ghidini,https://sheilaghidini.com/,City of San Jose,"The fishing –fire;      
    The waves lapping,           
          Falling tinted leaves.                         
-Keishi 

This haiku is embossed in English and Japanese on the edge of the cement circle at the center of the Path of a Ten Thousand Leaves. It captures the spirit of the path meant to highlight the passage of the seasons and give homage to the site’s agricultural past.The Path of Ten Thousand Leaves meanders through the 32-acre park with a large circular seating area at the center of the path. The 1800 foot path is embossed with black walnut and apricrot leaves, thus making the emphemereal process of leaves falling permanent. The embossed leaves also have a fossil-like design nostalgic of the fruit orchards that used to inhabit the site.  Community participation was an integral part of the design of this project. Members of the neighborhood around Cataldi Park were invited to emboss the leaves into the cement over a two day period. In doing so, this project hoped to encourage a greater sense of community, a sentiment of shared property, and a feeling of involvement in the process.",Morrill Ave. and Cataldi Dr.,San Jose,CA,95132,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32401,"-121.8686038, 37.4038218",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Path%20of%2010%2C000%20Leaves_Sheila%20Ghidini.jpeg
Perro Feliz,Sculpture,Welsh Park,,Barbara Abbott,,City of San Jose,"The piece is a playful testament to the young children, families, and sports teams that use the park in their daily lives.  The dog is a noble friend, playful, and happy and it is the artist’s intent to portray these characteristics in this artwork.",Kenesta Wy.,San Jose,CA,95122,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2623/1396," -121.8225951,
          37.3250086",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Perro%20Feliz_Barbara%20Abbott.jpeg
Plumed Serpent,Sculpture,Plaza de Cesar Chavez ,,Robert Graham,http://www.robertgraham-artist.com/,City of San Jose,"Plumed Serpent is a stylized image of Quetzalcóatl, one of the most important mythological deities of the Mesoamerican pantheon. It was created for the City of San Jose to symbolize the spirit of social harmony and diversity.",South Market at San Carlos,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32403," -121.8884029,
          37.3308059",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Plumed%20Serpent_Robert%20Graham.jpeg
Potential,Sculpture,Seven Trees Branch Library,,Sam Rodriguez and Matthew Rodriguez,,City of San Jose,"The project consists of multiple panels, each one containing parts that might be found in a ""low rider bicycle"" model kit. The design is presented as if the parts could be snapped out of their frame and reassembled.  Small  portraits, reflective of faces found in the community, are embedded within the artwork. The artwork is intended to serve as a colorful “bridge” between the Library’s entrance and the Children’s area.  Potential  also suggests a metaphor for the process  of  transformation.  It demonstrates how, in the creation of a low rider bicycle, an old junk bicycle frame is modified,restored and transformed into something new and beautiful.",3590 Cas Drive,San Jose,CA,95111,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32405/636716081574970000," -121.832778731676,
          37.2844201688482",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Potential_Sam%20Rodriguez%20and%20Matthew%20Rodriguez.jpeg
Recolecciones,"Architecture, Sculpture","Dr. Martin Luther King, Jr.",,Mel Chin,,City of San Jose,"This collection of 34 artworks is sited throughout the MLK Library. These site-specific artworks are designed to provoke viewers' interest and curiosity, while encouraging exploration and circulation throughout the Library. The artworks vary from large and dramatic statements to intimate and subtle insertions that may require numerous visits to discover. Recolecciones include functional installations such as chairs, tables and shelves, as well as wall paneling, sculptural ceilings, curious light projections, and more traditional sculpture.",150 E San Fernando St.,San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32407," -121.886498104881,
          37.3354988828196",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Recolecciones_Mel%20Chin.jpeg
Remembering Agriculture,Architecture,Guadalupe River Trail,,Tony May,http://tonymay.net/,City of San Jose,"Remembering Agriculture recalls the rich agricultural history that was the driving force in San Jose’s economy for more than 150 years. The project recreates the distinctive shapes of those once familiar archetypal clusters of farm buildings that are seen less and less frequently in the Santa Clara Valley. Once prolific, they are now most often decaying and abandoned, glimpsed only briefly from a distance by motorists on the freeway. The structures, a water tank tower, a windmill, a barn and a small shed, are intended to be somewhat ghost-like in their transparent appearance. The structures also function as arbors for a carefully chosen selection of ivies and other perennial climbing plants.",W. Santa Clara St. and Guadalupe Parkway,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32409,"  -121.897106,
          37.333053",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Remembering%20Agriculture_Tony%20May.jpeg
San Carlos Street Lantern Relay,"Interactive, Sculpture","E. San Carlos Street, between S. Market and S. 4th Streets",,Steve Durie & Bruce Gardner,,City of San Jose,"San Carlos Lantern Relay is comprised on eight 6' tall lanterns along E. San Carlos Street between the San Jose State University campus and the downtown cultural and events district. The lanterns are programmed to ""play"" a range of lighting programs and respond to pedestrian traffic. Interrupting the programmed lighting, people are invited to activate the lanterns via a button on the support pole.",San Carlos at 4th Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32413/636716796590870000,"   -121.8839829,
          37.3330683",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/San%20Carlos%20Street%20Latern%20Relay_Steve%20Durie%20_%20Bruce%20Gardner.jpeg
San Jose Airport Art + Technology Program,Architecture,San Jose International Airport,,"Banny Banerjee, Matt Gorbet, Susan LK Gorbet",,City of San Jose,"The team of Gorbet + Banerjee (Matt and Susan LK Gorbet + Banny Banerjee) developed an Activation Plan for the airport public art program that defines a series of platforms for artwork throughout the airport. Platforms are defined by location, data and power provisions, equipment space, and physical attachments. Artists are given the unique opportunity to work with these platforms in designing their artworks. Supporting research report and schematic strategy documents for the Art + Technology Program’s Art Activation are available under Plans & Documents. Art Activation Infrastructure Artists: Banny Banerjee · Matt Gorbet · Susan LK Gorbet 

The Art + Technology Program is built on a foundation of flexible ‘platforms’ for artists to use in creating technology and data-driven art.  The multi-disciplinary team of Gorbet+Banerjee designed art program infrastructure, determining appropriate locations, data, power and structure for artists to employ now and in the future. The infrastructure accommodates projection based, digital and data-driven artworks, and can be changed over time in keeping with the inevitable technological changes of the future.",1701 Airport Blvd,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9173037,
          37.3593271",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/San%20Jose%20Airpor%20Art%20%2B%20Technology%20Program_Banny%20Banerjee%2C%20Matt%20Gorbet%2C%20Susan%20LK%20Gorbet.jpeg
San Jose McEnery Convention Center Collection,Sculpture,San Jose McEnery Convention Center,,Various,,City of San Jose,"Title → Artist → Location
San Jose Mural→ Liz Utson → Exterior Facade
Winged Guardians → Stephen DeStabler → Entrance Lobby
Egrets → Tom Aidala → Entrance Lobby
Lucca No. 2 → Manuel Neri → Concourse
Figure Four → Nathan Oliviera → Concourse
Sentinel → Sam Hernandez → Concourse
Father and Son → John Buck → Concourse
Cupid and Psyche or Narcissus and Eco → A.D.M. Cooper → VIP Conference Room
Allegory of California → A.D.M. Cooper → VIP Conference Room
Three Classical Beauties → A.D.M. Cooper → VIP Conference Room
Tropical Landscape → A.D.M. Cooper → VIP Conference Room
Giselle Ou Le Willis (Giselle) → Julia Lord → VIP Conference Room
Giselle Ou Le Willis (Albrecht) → Julia Lord → VIP Conference Room
",150 W San Carlos St,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2639/1396,"-121.889178504024,
          37.3302931166692
",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/San%20Jose%20McEnry%20Convention%20Center%20Collection_Various.jpeg
San Jose Semaphore,"Architecture, Interactive",Adobe Headquarters,,Ben Rubin,,City of San Jose,"The San José Public Art Program in association with Adobe Systems, commissioned artist Ben Rubin in the creation of artwork for Adobe's Amaden Tower.  Not unlike the Semaphore Telegraphs of the 18th century,each wheel of the San José Semaphore can assume four distinct positions and together, the four wheels have a vocabulary of 256 possible combinations that turn into new positions every 7.2 seconds pulsing out a coded message, the content of which is a mystery left as a challenge for the viewers to decipher. As of October 2012, a new code is being displayed; cracking the encryption technique and deciphering the message is posed as a challenge for the public. To the first person or group to successfully crack the new code, Adobe will award bragging rights and acknowledgment on both the Adobe website and the San José Semaphore website.Adobe's Almaden Tower is situated directly beneath the flight path for aircraft landing at the Mineta San José International Airport, and the San José Semaphore is sensitive to the passage of aircraft above it. When a plane flies overhead, the wheels react visibly to the disturbance, and its steady rhythm is broken. After the plane has passed, the disks resume their steady, purposeful transmission. San José Semaphore functions as a beacon in the San José skyline. It is a large and beautiful machine for communication, a slow-motion magnifier for digital communications. Unlike digital transmissions that pass invisibly through the air and through microscopic circuitry, the San José Semaphore’s communication efforts are visible for all to see.",345 Park Ave,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32417/636716808446500000,"  -121.894342019024,
          37.3307716",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/San%20Jose%20Semaphore_Ben%20Rubin.jpeg
"Seats, Secrets, Stories, and Searches",Sculpture,West Valley Branch Library,,Elizabeth Conner,,City of San Jose,"The three elements of the artwork at West Valley Branch Library weave together stories about searches through the forest, fantastic larger-than life vegetables, and objects with magical qualities. The first element, Waterfeature, is a giant-sized artichoke, a sculpture captures rainwater from the roof of the building and cascades it down though the leaves into a drain.  The second artwork, Seating Transformed, is a group of three lettuce-leaf sculptures placed inside the library stacks. These provide children with perfect places to curl up and read a book.  The third element, The Tree, recalls a magical tree in a fairy tale. Composed of a collection of suspended colorful everyday objects, the sculpture is interwoven with sparkling lights and creates a canopy over the children’s reading area.",1243 San Thomas Aquino Rd.,San Jose,CA,95117,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32419,"  -121.9793918,
          37.3023684",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Seats%2C%20Secrets%2C%20Stories%2C%20and%20Searches_Elizabeth%20Conner.jpeg
